"circuit","case_type","frequency (n)"
"1C","civil_action_filings",1678
"1C","criminal_action_filings",1453
"1D","traffic_filings",229848
"1F","marital_action_filings",2970
"1F","adoption_filings",278
"1F","paternity_filings",579
"2C","civil_action_filings",816
"2C","criminal_action_filings",428
"2D","traffic_filings",20776
"2F","marital_action_filings",439
"2F","adoption_filings",43
"2F","paternity_filings",143
"3C","civil_action_filings",444
"3C","criminal_action_filings",948
"3D","traffic_filings",39887
"3F","marital_action_filings",515
"3F","adoption_filings",67
"3F","paternity_filings",212
"5C","civil_action_filings",143
"5C","criminal_action_filings",273
"5D","traffic_filings",11171
"5F","marital_action_filings",149
"5F","adoption_filings",22
"5F","paternity_filings",73
