Year,Circuit,Type of Action,Pending at Start,Filed,Total Caseload,Terminated,Pending at End
1998,Fifth Circuit,Civil Actions,645.0,410.0,1055.0,350.0,705.0
1998,Fifth Circuit,Criminal Actions,222.0,249.0,471.0,292.0,179.0
1998,First Circuit,Civil Actions,8369.0,5616.0,13985.0,5978.0,8007.0
1998,First Circuit,Criminal Actions,2454.0,3415.0,5869.0,3524.0,2345.0
1998,Second Circuit,Civil Actions,1520.0,995.0,2515.0,936.0,1579.0
1998,Second Circuit,Criminal Actions,332.0,801.0,1133.0,758.0,375.0
1998,Third Circuit,Civil Actions,2015.0,1000.0,3015.0,962.0,2053.0
1998,Third Circuit,Criminal Actions,725.0,752.0,1477.0,559.0,918.0
1999,Fifth Circuit,Civil Actions,661.0,335.0,996.0,389.0,607.0
1999,Fifth Circuit,Criminal Actions,182.0,265.0,447.0,282.0,165.0
1999,First Circuit,Civil Actions,8257.0,4994.0,13251.0,5027.0,8224.0
1999,First Circuit,Criminal Actions,1887.0,2787.0,4674.0,2850.0,1824.0
1999,Second Circuit,Civil Actions,1448.0,836.0,2284.0,875.0,1409.0
1999,Second Circuit,Criminal Actions,309.0,685.0,994.0,643.0,351.0
1999,Third Circuit,Civil Actions,1960.0,827.0,2787.0,882.0,1905.0
1999,Third Circuit,Criminal Actions,847.0,759.0,1606.0,613.0,993.0
2000,Fifth Circuit,Civil Actions,607.0,243.0,850.0,287.0,563.0
2000,Fifth Circuit,Criminal Actions,165.0,262.0,427.0,244.0,183.0
2000,First Circuit,Civil Actions,8224.0,4316.0,12540.0,6634.0,5906.0
2000,First Circuit,Criminal Actions,1824.0,2825.0,4649.0,2799.0,1850.0
2000,Second Circuit,Civil Actions,1409.0,693.0,2102.0,836.0,1266.0
2000,Second Circuit,Criminal Actions,351.0,630.0,981.0,599.0,382.0
2000,Third Circuit,Civil Actions,1905.0,780.0,2685.0,915.0,1770.0
2000,Third Circuit,Criminal Actions,993.0,709.0,1702.0,665.0,1037.0
2001,Fifth Circuit,Civil Actions,563.0,214.0,777.0,267.0,510.0
2001,Fifth Circuit,Criminal Actions,327.0,334.0,661.0,233.0,428.0
2001,First Circuit,Civil Actions,5906.0,3824.0,9730.0,4048.0,5682.0
2001,First Circuit,Criminal Actions,5533.0,2995.0,8528.0,2616.0,5912.0
2001,Second Circuit,Civil Actions,1266.0,679.0,1945.0,673.0,1272.0
2001,Second Circuit,Criminal Actions,1296.0,697.0,1993.0,554.0,1439.0
2001,Third Circuit,Civil Actions,1770.0,780.0,2550.0,657.0,1893.0
2001,Third Circuit,Criminal Actions,2155.0,680.0,2835.0,530.0,2305.0
2002,Fifth Circuit,Civil Actions,510.0,223.0,733.0,205.0,528.0
2002,Fifth Circuit,Criminal Actions,424.0,353.0,777.0,232.0,545.0
2002,First Circuit,Civil Actions,5682.0,3235.0,8917.0,3961.0,4956.0
2002,First Circuit,Criminal Actions,5767.0,3107.0,8874.0,2802.0,6072.0
2002,Second Circuit,Civil Actions,1272.0,639.0,1911.0,650.0,1261.0
2002,Second Circuit,Criminal Actions,1419.0,676.0,2095.0,533.0,1562.0
2002,Third Circuit,Civil Actions,1893.0,673.0,2566.0,709.0,1857.0
2002,Third Circuit,Criminal Actions,2370.0,708.0,3078.0,534.0,2544.0
2003,Fifth Circuit,Civil Actions,528.0,172.0,700.0,189.0,511.0
2003,Fifth Circuit,Criminal Actions,425.0,336.0,761.0,307.0,454.0
2003,First Circuit,Civil Actions,4956.0,2799.0,7755.0,3121.0,4634.0
2003,First Circuit,Criminal Actions,6039.0,3188.0,9227.0,2688.0,6539.0
2003,Second Circuit,Civil Actions,1261.0,545.0,1806.0,598.0,1208.0
2003,Second Circuit,Criminal Actions,1536.0,725.0,2261.0,696.0,1565.0
2003,Third Circuit,Civil Actions,1857.0,617.0,2474.0,641.0,1833.0
2003,Third Circuit,Criminal Actions,2412.0,754.0,3166.0,636.0,2530.0
2004,Fifth Circuit,Civil Actions,511.0,178.0,689.0,305.0,384.0
2004,Fifth Circuit,Criminal Actions,452.0,392.0,844.0,243.0,601.0
2004,First Circuit,Civil Actions,4634.0,2376.0,7010.0,2881.0,4129.0
2004,First Circuit,Criminal Actions,6528.0,2878.0,9406.0,2599.0,6807.0
2004,Second Circuit,Civil Actions,1208.0,551.0,1759.0,681.0,1078.0
2004,Second Circuit,Criminal Actions,1536.0,666.0,2202.0,525.0,1677.0
2004,Third Circuit,Civil Actions,1833.0,538.0,2371.0,1215.0,1156.0
2004,Third Circuit,Criminal Actions,2609.0,823.0,3432.0,574.0,2858.0
2005,Fifth Circuit,Civil Actions,384.0,166.0,550.0,146.0,404.0
2005,Fifth Circuit,Criminal Actions,606.0,368.0,974.0,196.0,778.0
2005,First Circuit,Civil Actions,4129.0,2360.0,6489.0,2917.0,3572.0
2005,First Circuit,Criminal Actions,6716.0,2929.0,9645.0,2195.0,7450.0
2005,Second Circuit,Civil Actions,1078.0,487.0,1565.0,556.0,1009.0
2005,Second Circuit,Criminal Actions,1629.0,648.0,2277.0,688.0,1589.0
2005,Third Circuit,Civil Actions,1156.0,648.0,1804.0,508.0,1296.0
2005,Third Circuit,Criminal Actions,2816.0,883.0,3699.0,528.0,3171.0
2006,Fifth Circuit,Civil Actions,404.0,166.0,570.0,139.0,431.0
2006,Fifth Circuit,Criminal Actions,759.0,300.0,1059.0,196.0,863.0
2006,First Circuit,Civil Actions,3572.0,2226.0,5798.0,2509.0,3289.0
2006,First Circuit,Criminal Actions,6990.0,2965.0,9955.0,2241.0,7714.0
2006,Second Circuit,Civil Actions,1009.0,496.0,1505.0,555.0,950.0
