Year,Circuit,Type of Action,Pending at Start,Filed,Total Caseload,Terminated,Pending at End
2022,First Circuit,TOTAL CASES,23606.0,11764.0,35370.0,8009.0,27361.0
2022,First Circuit,Civil Actions,5927.0,1528.0,7455.0,2646.0,4809.0
2022,First Circuit,Contract,739.0,167.0,906.0,410.0,496.0
2022,First Circuit,Motor Vehicle Tort,620.0,218.0,838.0,370.0,468.0
2022,First Circuit,Assault & Battery,34.0,7.0,41.0,18.0,23.0
2022,First Circuit,Construction Defect,21.0,9.0,30.0,8.0,22.0
2022,First Circuit,Medical Malpractice,87.0,24.0,111.0,30.0,81.0
2022,First Circuit,Legal Malpractice,11.0,3.0,14.0,5.0,9.0
2022,First Circuit,Product Liability,63.0,10.0,73.0,16.0,57.0
2022,First Circuit,Other Non-Vehicle Tort,657.0,206.0,863.0,316.0,547.0
2022,First Circuit,Condemnation,26.0,7.0,33.0,6.0,27.0
2022,First Circuit,Environment,11.0,8.0,19.0,5.0,14.0
2022,First Circuit,Foreclosure,2371.0,439.0,2810.0,854.0,1956.0
2022,First Circuit,Agreement of Sale,,,,,
2022,First Circuit,Agency Appeal,75.0,63.0,138.0,31.0,107.0
2022,First Circuit,Declaratory Judgment,165.0,33.0,198.0,95.0,103.0
2022,First Circuit,Civil Rights,4.0,,4.0,,4.0
2022,First Circuit,Partition/Real Property,26.0,,26.0,,26.0
2022,First Circuit,Quiet Title,12.0,3.0,15.0,4.0,11.0
2022,First Circuit,Other Civil Action,1005.0,331.0,1336.0,478.0,858.0
2022,First Circuit,Probate Proceedings,2235.0,1010.0,3245.0,252.0,2993.0
2022,First Circuit,Conservatorship/Guardianship Proceedings,1360.0,144.0,1504.0,904.0,600.0
2022,First Circuit,Conservatorship/Guardianship,265.0,44.0,309.0,126.0,183.0
2022,First Circuit,Conservatorship,462.0,84.0,546.0,296.0,250.0
2022,First Circuit,Guardianship,633.0,16.0,649.0,482.0,167.0
2022,First Circuit,Trust Proceedings,494.0,200.0,694.0,104.0,590.0
2022,First Circuit,Miscellaneous Proceedings,5614.0,7136.0,12750.0,2587.0,10163.0
2022,First Circuit,Land Court,4518.0,5345.0,9863.0,2355.0,7508.0
2022,First Circuit,Tax Appeal Court,734.0,1435.0,2169.0,11.0,2158.0
2022,First Circuit,Mechanic's and Materialman's Lien,41.0,14.0,55.0,24.0,31.0
2022,First Circuit,Other Special Proceedings,321.0,342.0,663.0,197.0,466.0
2022,First Circuit,Criminal Actions,7976.0,1746.0,9722.0,1516.0,8206.0
2022,First Circuit,Murder & Non-Negligent Manslaughter,100.0,29.0,129.0,12.0,117.0
2022,First Circuit,Negligent Homicide,48.0,7.0,55.0,4.0,51.0
2022,First Circuit,Sex Offenses,194.0,44.0,238.0,52.0,186.0
2022,First Circuit,Robbery,428.0,75.0,503.0,67.0,436.0
2022,First Circuit,Assault,669.0,213.0,882.0,217.0,665.0
2022,First Circuit,Burglary and Trespass,1901.0,433.0,2334.0,317.0,2017.0
2022,First Circuit,Larceny-Theft,1293.0,171.0,1464.0,183.0,1281.0
2022,First Circuit,Arson,16.0,7.0,23.0,1.0,22.0
2022,First Circuit,Forgery and Counterfeiting,227.0,30.0,257.0,50.0,207.0
2022,First Circuit,Fraud,167.0,22.0,189.0,33.0,156.0
2022,First Circuit,Vandalism,174.0,48.0,222.0,22.0,200.0
2022,First Circuit,Weapons,112.0,45.0,157.0,21.0,136.0
2022,First Circuit,Prostitution,11.0,2.0,13.0,,13.0
2022,First Circuit,Controlled Substances,1519.0,421.0,1940.0,280.0,1660.0
2022,First Circuit,Gambling,7.0,,7.0,,7.0
2022,First Circuit,Offenses Against Family & Children,60.0,19.0,79.0,16.0,63.0
2022,First Circuit,Disorderly Conduct,110.0,18.0,128.0,18.0,110.0
2022,First Circuit,OVUII,138.0,18.0,156.0,34.0,122.0
2022,First Circuit,Traffic Offenses,69.0,11.0,80.0,32.0,48.0
2022,First Circuit,Kidnapping and Custodial Interference,49.0,13.0,62.0,12.0,50.0
2022,First Circuit,Terroristic Threatening,399.0,62.0,461.0,83.0,378.0
2022,First Circuit,TRO Violation,45.0,6.0,51.0,24.0,27.0
2022,First Circuit,Liquor Laws,1.0,,1.0,,1.0
2022,First Circuit,Extortion,4.0,,4.0,,4.0
2022,First Circuit,All Other Offenses,235.0,52.0,287.0,37.0,250.0
2022,Second Circuit,TOTAL CASES,4965.0,1576.0,6541.0,2449.0,4092.0
2022,Second Circuit,Civil Actions,1019.0,380.0,1399.0,370.0,1029.0
2022,Second Circuit,Contract,108.0,36.0,144.0,44.0,100.0
2022,Second Circuit,Motor Vehicle Tort,105.0,65.0,170.0,64.0,106.0
2022,Second Circuit,Assault & Battery,4.0,,4.0,,4.0
2022,Second Circuit,Construction Defect,10.0,,10.0,1.0,9.0
2022,Second Circuit,Medical Malpractice,21.0,9.0,30.0,5.0,25.0
2022,Second Circuit,Legal Malpractice,1.0,,1.0,,
2022,Second Circuit,Product Liability,6.0,1.0,7.0,2.0,5.0
2022,Second Circuit,Other Non-Vehicle Tort,139.0,65.0,204.0,48.0,156.0
2022,Second Circuit,Condemnation,1.0,2.0,3.0,,3.0
2022,Second Circuit,Environment,8.0,4.0,12.0,2.0,10.0
2022,Second Circuit,Foreclosure,386.0,83.0,469.0,124.0,345.0
2022,Second Circuit,Agreement of Sale,,,,,
2022,Second Circuit,Agency Appeal,21.0,23.0,44.0,7.0,37.0
2022,Second Circuit,Declaratory Judgment,23.0,10.0,33.0,13.0,20.0
2022,Second Circuit,Civil Rights,1.0,,1.0,,1.0
2022,Second Circuit,Partition/Real Property,3.0,,3.0,,
2022,Second Circuit,Quiet Title,5.0,4.0,9.0,2.0,7.0
2022,Second Circuit,Other Civil Action,178.0,77.0,255.0,58.0,197.0
2022,Second Circuit,Probate Proceedings,1598.0,259.0,1857.0,1257.0,600.0
2022,Second Circuit,Conservatorship/ Guardianship Proceedings,106.0,38.0,144.0,7.0,137.0
2022,Second Circuit,Conservatorship/ Guardianship,27.0,13.0,40.0,3.0,37.0
2022,Second Circuit,Conservatorship,59.0,25.0,84.0,,80.0
2022,Second Circuit,Guardianship,20.0,,20.0,,20.0
2022,Second Circuit,Trust Proceedings,30.0,22.0,52.0,3.0,49.0
2022,Second Circuit,Miscellaneous Proceedings,113.0,63.0,176.0,47.0,129.0
2022,Second Circuit,Mechanic's and Materialmanâ€™s Lien,17.0,4.0,21.0,17.0,4.0
2022,Second Circuit,Other Special Proceedings,96.0,59.0,155.0,30.0,125.0
2022,Second Circuit,Criminal Actions,2099.0,814.0,2913.0,765.0,2148.0
2022,Second Circuit,Murder & Non-Negligent Manslaughter,33.0,4.0,37.0,8.0,29.0
2022,Second Circuit,Negligent Homicide,19.0,8.0,27.0,3.0,24.0
2022,Second Circuit,Sex Offenses,32.0,16.0,48.0,10.0,38.0
2022,Second Circuit,Robbery,37.0,6.0,43.0,14.0,29.0
2022,Second Circuit,Assault,179.0,76.0,255.0,81.0,174.0
2022,Second Circuit,Burglary and Trespass,503.0,161.0,664.0,196.0,468.0
2022,Second Circuit,Larceny-Theft,336.0,84.0,420.0,97.0,323.0
2022,Second Circuit,Arson,5.0,,9.0,3.0,6.0
2022,Second Circuit,Forgery and Counterfeiting,22.0,3.0,25.0,6.0,19.0
2022,Second Circuit,Fraud,22.0,5.0,27.0,1.0,26.0
2022,Second Circuit,Vandalism,30.0,26.0,56.0,13.0,43.0
2022,Second Circuit,Weapons,83.0,37.0,120.0,32.0,88.0
2022,Second Circuit,Prostitution,1.0,,,,
2022,Second Circuit,Controlled Substances,483.0,274.0,757.0,183.0,574.0
2022,Second Circuit,Gambling,7.0,,,,7.0
2022,Second Circuit,Offenses Against Family & Children,26.0,14.0,40.0,10.0,30.0
2022,Second Circuit,Disorderly Conduct,32.0,10.0,42.0,15.0,27.0
2022,Second Circuit,OVUII,22.0,21.0,43.0,15.0,28.0
2022,Second Circuit,Traffic Offenses,16.0,14.0,30.0,24.0,24.0
2022,Second Circuit,Kidnapping and Custodial Interference,10.0,2.0,12.0,6.0,6.0
2022,Second Circuit,Terroristic Threatening,69.0,22.0,91.0,21.0,70.0
2022,Second Circuit,TRO Violation,2.0,5.0,7.0,7.0,5.0
2022,Second Circuit,Liquor Laws,1.0,,,,
2022,Second Circuit,Extortion,1.0,2.0,3.0,,2.0
2022,Second Circuit,All Other Offenses,129.0,20.0,149.0,41.0,108.0
2022,Third Circuit,TOTAL CASES,7186.0,1940.0,9126.0,3056.0,6070.0
2022,Third Circuit,Civil Actions,2541.0,380.0,2921.0,1587.0,1334.0
2022,Third Circuit,Contract,240.0,46.0,286.0,165.0,121.0
2022,Third Circuit,Motor Vehicle Tort,224.0,47.0,271.0,152.0,119.0
2022,Third Circuit,Assault & Battery,10.0,,6.0,,4.0
2022,Third Circuit,Construction Defect,3.0,1.0,4.0,1.0,3.0
2022,Third Circuit,Medical Malpractice,21.0,5.0,28.0,12.0,16.0
2022,Third Circuit,Legal Malpractice,2.0,,2.0,,
2022,Third Circuit,Product Liability,11.0,5.0,16.0,5.0,11.0
2022,Third Circuit,Other Non-Vehicle Tort,258.0,44.0,302.0,139.0,163.0
2022,Third Circuit,Condemnation,5.0,1.0,6.0,5.0,1.0
2022,Third Circuit,Environment,4.0,,4.0,1.0,3.0
2022,Third Circuit,Foreclosure,1219.0,117.0,1336.0,759.0,577.0
2022,Third Circuit,Agreement of Sale,3.0,,3.0,,
2022,Third Circuit,Agency Appeal,63.0,16.0,79.0,48.0,31.0
2022,Third Circuit,Declaratory Judgment,86.0,21.0,107.0,55.0,55.0
2022,Third Circuit,Civil Rights,,,,,
2022,Third Circuit,Partition/Real Property,7.0,,7.0,,7.0
2022,Third Circuit,Quiet Title,11.0,11.0,22.0,6.0,16.0
2022,Third Circuit,Other Civil Action,374.0,64.0,438.0,232.0,206.0
2022,Third Circuit,Probate Proceedings,815.0,422.0,1237.0,23.0,1214.0
2022,Third Circuit,Conservatorship/ Guardianship Proceedings,134.0,31.0,165.0,3.0,162.0
2022,Third Circuit,Conservatorship/ Guardianship,21.0,15.0,36.0,2.0,34.0
2022,Third Circuit,Conservatorship,95.0,15.0,110.0,1.0,109.0
2022,Third Circuit,Guardianship,18.0,1.0,19.0,,19.0
2022,Third Circuit,Trust Proceedings,35.0,23.0,58.0,1.0,57.0
2022,Third Circuit,Miscellaneous Proceedings,129.0,60.0,189.0,7.0,182.0
2022,Third Circuit,Mechanic's and Materialmanâ€™s Lien,9.0,3.0,12.0,2.0,10.0
2022,Third Circuit,Other Special Proceedings,120.0,57.0,177.0,5.0,172.0
2022,Third Circuit,Criminal Actions,3532.0,1024.0,4556.0,1435.0,3121.0
2022,Third Circuit,Murder & Non-Negligent Manslaughter,51.0,16.0,67.0,20.0,47.0
2022,Third Circuit,Negligent Homicide,21.0,3.0,24.0,8.0,16.0
2022,Third Circuit,Sex Offenses,56.0,17.0,73.0,28.0,45.0
2022,Third Circuit,Robbery,72.0,20.0,92.0,28.0,64.0
2022,Third Circuit,Assault,222.0,95.0,317.0,104.0,213.0
2022,Third Circuit,Burglary and Trespass,656.0,179.0,835.0,267.0,568.0
2022,Third Circuit,Larceny-Theft,512.0,146.0,658.0,163.0,495.0
2022,Third Circuit,Arson,14.0,4.0,8.0,3.0,15.0
2022,Third Circuit,Forgery and Counterfeiting,38.0,5.0,43.0,6.0,37.0
2022,Third Circuit,Fraud,30.0,3.0,33.0,10.0,23.0
2022,Third Circuit,Vandalism,87.0,35.0,122.0,34.0,88.0
2022,Third Circuit,Weapons,139.0,48.0,187.0,53.0,134.0
2022,Third Circuit,Prostitution,,,,,
2022,Third Circuit,Controlled Substances,919.0,178.0,1097.0,309.0,788.0
2022,Third Circuit,Gambling,3.0,,3.0,2.0,1.0
2022,Third Circuit,Offenses Against Family & Children,81.0,27.0,108.0,22.0,86.0
2022,Third Circuit,Disorderly Conduct,81.0,32.0,113.0,50.0,63.0
2022,Third Circuit,OVUII,62.0,35.0,97.0,44.0,53.0
2022,Third Circuit,Traffic Offenses,48.0,11.0,59.0,35.0,24.0
2022,Third Circuit,Kidnapping and Custodial Interference,46.0,2.0,56.0,24.0,32.0
2022,Third Circuit,Terroristic Threatening,158.0,54.0,212.0,62.0,150.0
2022,Third Circuit,TRO Violation,24.0,16.0,40.0,18.0,22.0
2022,Third Circuit,Liquor Laws,2.0,,,,
2022,Third Circuit,Extortion,2.0,,2.0,,2.0
2022,Third Circuit,All Other Offenses,210.0,90.0,300.0,145.0,155.0
2022,Fifth Circuit,TOTAL CASES,3241.0,602.0,3843.0,494.0,3349.0
2022,Fifth Circuit,Civil Actions,451.0,134.0,585.0,102.0,483.0
2022,Fifth Circuit,Contract,51.0,17.0,68.0,16.0,52.0
2022,Fifth Circuit,Motor Vehicle Tort,37.0,13.0,50.0,15.0,35.0
2022,Fifth Circuit,Assault & Battery,2.0,2.0,4.0,4.0,4.0
2022,Fifth Circuit,Construction Defect,3.0,1.0,4.0,,4.0
2022,Fifth Circuit,Medical Malpractice,5.0,3.0,8.0,8.0,8.0
2022,Fifth Circuit,Legal Malpractice,,,,,
2022,Fifth Circuit,Product Liability,2.0,1.0,3.0,3.0,
2022,Fifth Circuit,Other Non-Vehicle Tort,64.0,16.0,80.0,14.0,66.0
2022,Fifth Circuit,Condemnation,3.0,,3.0,,3.0
2022,Fifth Circuit,Environment,3.0,,3.0,,3.0
2022,Fifth Circuit,Foreclosure,161.0,26.0,187.0,31.0,156.0
2022,Fifth Circuit,Agreement of Sale Foreclosure,,,,,
2022,Fifth Circuit,Agency Appeal,16.0,10.0,26.0,2.0,24.0
2022,Fifth Circuit,Declaratory Judgment,20.0,12.0,32.0,3.0,29.0
2022,Fifth Circuit,Civil Rights,,,,,
2022,Fifth Circuit,Partition/Real Property,1.0,,1.0,,1.0
