COURT,CASE_TYPE_NAME,YEAR,MONTH,CASE_COUNT
1C,Civil_Action,1998,1,460
1C,Civil_Action,1998,2,499
1C,Civil_Action,1998,3,586
1C,Civil_Action,1998,4,424
1C,Civil_Action,1998,5,487
1C,Civil_Action,1998,6,606
1C,Civil_Action,1998,7,379
1C,Civil_Action,1998,8,392
1C,Civil_Action,1998,9,443
1C,Civil_Action,1998,10,432
1C,Civil_Action,1998,11,414
1C,Civil_Action,1998,12,434
1C,Civil_Action,1999,1,422
1C,Civil_Action,1999,2,427
1C,Civil_Action,1999,3,468
1C,Civil_Action,1999,4,462
1C,Civil_Action,1999,5,379
1C,Civil_Action,1999,6,356
1C,Civil_Action,1999,7,400
1C,Civil_Action,1999,8,385
1C,Civil_Action,1999,9,377
1C,Civil_Action,1999,10,375
1C,Civil_Action,1999,11,386
1C,Civil_Action,1999,12,356
1C,Civil_Action,2000,1,348
1C,Civil_Action,2000,2,368
1C,Civil_Action,2000,3,379
1C,Civil_Action,2000,4,312
1C,Civil_Action,2000,5,335
1C,Civil_Action,2000,6,337
1C,Civil_Action,2000,7,301
1C,Civil_Action,2000,8,364
1C,Civil_Action,2000,9,316
1C,Civil_Action,2000,10,329
1C,Civil_Action,2000,11,278
1C,Civil_Action,2000,12,275
1C,Civil_Action,2001,1,364
1C,Civil_Action,2001,2,310
1C,Civil_Action,2001,3,369
1C,Civil_Action,2001,4,313
1C,Civil_Action,2001,5,325
1C,Civil_Action,2001,6,315
1C,Civil_Action,2001,7,269
1C,Civil_Action,2001,8,335
1C,Civil_Action,2001,9,276
1C,Civil_Action,2001,10,315
1C,Civil_Action,2001,11,239
1C,Civil_Action,2001,12,240
1C,Civil_Action,2002,1,287
1C,Civil_Action,2002,2,266
1C,Civil_Action,2002,3,258
1C,Civil_Action,2002,4,275
1C,Civil_Action,2002,5,265
1C,Civil_Action,2002,6,236
1C,Civil_Action,2002,7,248
1C,Civil_Action,2002,8,255
1C,Civil_Action,2002,9,231
1C,Civil_Action,2002,10,249
1C,Civil_Action,2002,11,233
1C,Civil_Action,2002,12,238
1C,Civil_Action,2003,1,232
1C,Civil_Action,2003,2,204
1C,Civil_Action,2003,3,227
1C,Civil_Action,2003,4,215
1C,Civil_Action,2003,5,243
1C,Civil_Action,2003,6,229
1C,Civil_Action,2003,7,206
1C,Civil_Action,2003,8,198
1C,Civil_Action,2003,9,207
1C,Civil_Action,2003,10,225
1C,Civil_Action,2003,11,172
1C,Civil_Action,2003,12,193
1C,Civil_Action,2004,1,187
1C,Civil_Action,2004,2,206
1C,Civil_Action,2004,3,211
1C,Civil_Action,2004,4,219
1C,Civil_Action,2004,5,185
1C,Civil_Action,2004,6,193
1C,Civil_Action,2004,7,199
1C,Civil_Action,2004,8,198
1C,Civil_Action,2004,9,192
1C,Civil_Action,2004,10,210
1C,Civil_Action,2004,11,214
1C,Civil_Action,2004,12,193
1C,Civil_Action,2005,1,165
1C,Civil_Action,2005,2,173
1C,Civil_Action,2005,3,217
1C,Civil_Action,2005,4,206
1C,Civil_Action,2005,5,225
1C,Civil_Action,2005,6,195
1C,Civil_Action,2005,7,216
1C,Civil_Action,2005,8,174
1C,Civil_Action,2005,9,202
1C,Civil_Action,2005,10,191
1C,Civil_Action,2005,11,179
1C,Civil_Action,2005,12,174
1C,Civil_Action,2006,1,171
1C,Civil_Action,2006,2,188
1C,Civil_Action,2006,3,213
1C,Civil_Action,2006,4,167
1C,Civil_Action,2006,5,203
1C,Civil_Action,2006,6,207
1C,Civil_Action,2006,7,179
1C,Civil_Action,2006,8,190
1C,Civil_Action,2006,9,173
1C,Civil_Action,2006,10,192
1C,Civil_Action,2006,11,187
1C,Civil_Action,2006,12,165
1C,Civil_Action,2007,1,196
1C,Civil_Action,2007,2,195
1C,Civil_Action,2007,3,189
1C,Civil_Action,2007,4,194
1C,Civil_Action,2007,5,223
1C,Civil_Action,2007,6,214
1C,Civil_Action,2007,7,205
1C,Civil_Action,2007,8,220
1C,Civil_Action,2007,9,177
1C,Civil_Action,2007,10,270
1C,Civil_Action,2007,11,187
1C,Civil_Action,2007,12,190
1C,Civil_Action,2008,1,228
1C,Civil_Action,2008,2,224
1C,Civil_Action,2008,3,210
1C,Civil_Action,2008,4,208
1C,Civil_Action,2008,5,224
1C,Civil_Action,2008,6,225
1C,Civil_Action,2008,7,258
1C,Civil_Action,2008,8,202
1C,Civil_Action,2008,9,231
1C,Civil_Action,2008,10,251
1C,Civil_Action,2008,11,205
1C,Civil_Action,2008,12,228
1C,Civil_Action,2009,1,242
1C,Civil_Action,2009,2,248
1C,Civil_Action,2009,3,244
1C,Civil_Action,2009,4,278
1C,Civil_Action,2009,5,221
1C,Civil_Action,2009,6,263
1C,Civil_Action,2009,7,280
1C,Civil_Action,2009,8,237
1C,Civil_Action,2009,9,250
1C,Civil_Action,2009,10,286
1C,Civil_Action,2009,11,230
1C,Civil_Action,2009,12,222
1C,Civil_Action,2010,1,204
1C,Civil_Action,2010,2,233
1C,Civil_Action,2010,3,272
1C,Civil_Action,2010,4,224
1C,Civil_Action,2010,5,264
1C,Civil_Action,2010,6,233
1C,Civil_Action,2010,7,209
1C,Civil_Action,2010,8,244
1C,Civil_Action,2010,9,210
1C,Civil_Action,2010,10,239
1C,Civil_Action,2010,11,249
1C,Civil_Action,2010,12,179
1C,Civil_Action,2011,1,233
1C,Civil_Action,2011,2,193
1C,Civil_Action,2011,3,242
1C,Civil_Action,2011,4,205
1C,Civil_Action,2011,5,241
1C,Civil_Action,2011,6,257
1C,Civil_Action,2011,7,257
1C,Civil_Action,2011,8,330
1C,Civil_Action,2011,9,334
1C,Civil_Action,2011,10,357
1C,Civil_Action,2011,11,305
1C,Civil_Action,2011,12,284
1C,Civil_Action,2012,1,287
1C,Civil_Action,2012,2,275
1C,Civil_Action,2012,3,317
1C,Civil_Action,2012,4,324
1C,Civil_Action,2012,5,331
1C,Civil_Action,2012,6,350
1C,Civil_Action,2012,7,187
1C,Civil_Action,2012,8,209
1C,Civil_Action,2012,9,172
1C,Civil_Action,2012,10,276
1C,Civil_Action,2012,11,289
1C,Civil_Action,2012,12,309
1C,Civil_Action,2013,1,290
1C,Civil_Action,2013,2,315
1C,Civil_Action,2013,3,346
1C,Civil_Action,2013,4,336
1C,Civil_Action,2013,5,315
1C,Civil_Action,2013,6,241
1C,Civil_Action,2013,7,254
1C,Civil_Action,2013,8,275
1C,Civil_Action,2013,9,256
1C,Civil_Action,2013,10,286
1C,Civil_Action,2013,11,221
1C,Civil_Action,2013,12,244
1C,Civil_Action,2014,1,289
1C,Civil_Action,2014,2,257
1C,Civil_Action,2014,3,290
1C,Civil_Action,2014,4,273
1C,Civil_Action,2014,5,164
1C,Civil_Action,2014,6,211
1C,Civil_Action,2014,7,187
1C,Civil_Action,2014,8,182
1C,Civil_Action,2014,9,225
1C,Civil_Action,2014,10,203
1C,Civil_Action,2014,11,175
1C,Civil_Action,2014,12,214
1C,Civil_Action,2015,1,170
1C,Civil_Action,2015,2,188
1C,Civil_Action,2015,3,241
1C,Civil_Action,2015,4,250
1C,Civil_Action,2015,5,213
1C,Civil_Action,2015,6,218
1C,Civil_Action,2015,7,238
1C,Civil_Action,2015,8,197
1C,Civil_Action,2015,9,202
1C,Civil_Action,2015,10,191
1C,Civil_Action,2015,11,214
1C,Civil_Action,2015,12,176
1C,Civil_Action,2016,1,190
1C,Civil_Action,2016,2,188
1C,Civil_Action,2016,3,224
1C,Civil_Action,2016,4,249
1C,Civil_Action,2016,5,202
1C,Civil_Action,2016,6,205
1C,Civil_Action,2016,7,223
1C,Civil_Action,2016,8,196
1C,Civil_Action,2016,9,182
1C,Civil_Action,2016,10,182
1C,Civil_Action,2016,11,155
1C,Civil_Action,2016,12,158
1C,Civil_Action,2017,1,188
1C,Civil_Action,2017,2,152
1C,Civil_Action,2017,3,206
1C,Civil_Action,2017,4,164
1C,Civil_Action,2017,5,171
1C,Civil_Action,2017,6,186
1C,Civil_Action,2017,7,195
1C,Civil_Action,2017,8,167
1C,Civil_Action,2017,9,171
1C,Civil_Action,2017,10,178
1C,Civil_Action,2017,11,187
1C,Civil_Action,2017,12,163
1C,Civil_Action,2018,1,166
1C,Civil_Action,2018,2,156
1C,Civil_Action,2018,3,170
1C,Civil_Action,2018,4,165
1C,Civil_Action,2018,5,203
1C,Civil_Action,2018,6,180
1C,Civil_Action,2018,7,154
1C,Civil_Action,2018,8,172
1C,Civil_Action,2018,9,190
1C,Civil_Action,2018,10,200
1C,Civil_Action,2018,11,179
1C,Civil_Action,2018,12,179
1C,Civil_Action,2019,1,177
1C,Civil_Action,2019,2,166
1C,Civil_Action,2019,3,182
1C,Civil_Action,2019,4,159
1C,Civil_Action,2019,5,173
1C,Civil_Action,2019,6,163
1C,Civil_Action,2019,7,187
1C,Civil_Action,2019,8,184
1C,Civil_Action,2019,9,148
1C,Civil_Action,2019,10,191
1C,Civil_Action,2019,11,153
1C,Civil_Action,2019,12,197
1C,Civil_Action,2020,1,160
1C,Civil_Action,2020,2,175
1C,Civil_Action,2020,3,171
1C,Civil_Action,2020,4,185
1C,Civil_Action,2020,5,107
1C,Civil_Action,2020,6,147
1C,Civil_Action,2020,7,139
1C,Civil_Action,2020,8,117
1C,Civil_Action,2020,9,145
1C,Civil_Action,2020,10,135
1C,Civil_Action,2020,11,115
1C,Civil_Action,2020,12,152
1C,Civil_Action,2021,1,120
1C,Civil_Action,2021,2,108
1C,Civil_Action,2021,3,178
1C,Civil_Action,2021,4,150
1C,Civil_Action,2021,5,157
1C,Civil_Action,2021,6,143
1C,Civil_Action,2021,7,100
1C,Civil_Action,2021,8,110
1C,Civil_Action,2021,9,124
1C,Civil_Action,2021,10,145
1C,Civil_Action,2021,11,134
1C,Civil_Action,2021,12,147
1C,Civil_Action,2022,1,136
1C,Civil_Action,2022,2,107
1C,Civil_Action,2022,3,135
1C,Civil_Action,2022,4,130
1C,Civil_Action,2022,5,121
1C,Civil_Action,2022,6,140
1C,Civil_Action,2022,7,133
1C,Civil_Action,2022,8,159
1C,Civil_Action,2022,9,156
1C,Civil_Action,2022,10,137
1C,Civil_Action,2022,11,168
1C,Civil_Action,2022,12,141
1C,Civil_Action,2023,1,139
1C,Civil_Action,2023,2,123
1C,Civil_Action,2023,3,173
1C,Civil_Action,2023,4,118
1C,Civil_Action,2023,5,155
1C,Civil_Action,2023,6,150
1C,Civil_Action,2023,7,132
1C,Civil_Action,2023,8,158
1C,Civil_Action,2023,9,121
1C,Civil_Action,2023,10,151
1C,Civil_Action,2023,11,138
1C,Civil_Action,2023,12,115
1C,Civil_Action,2024,1,161
1C,Civil_Action,2024,2,122
