Year,Circuit,Type of Action,Pending at Start,Filed,Total Caseload,Terminated,Pending at End
1998,First Circuit,TOTAL CASES,19751.0,29207.0,48958.0,34396.0,14562.0
1998,First Circuit,Primary Proceedings and Referrals,13021.0,20059.0,33080.0,24835.0,8245.0
1998,First Circuit,Marital Actions and Proceedings,4691.0,4756.0,9447.0,7078.0,2369.0
1998,First Circuit,Divorce,4613.0,4702.0,9315.0,6984.0,2331.0
1998,First Circuit,Annulment,23.0,25.0,48.0,30.0,18.0
1998,First Circuit,Separation,55.0,29.0,84.0,64.0,20.0
1998,First Circuit,Uniform Reciprocal Enforcement of Support,776.0,143.0,919.0,267.0,652.0
1998,First Circuit,Adoption Proceedings,285.0,588.0,873.0,553.0,320.0
1998,First Circuit,Parental Proceedings,818.0,1633.0,2451.0,1348.0,1103.0
1998,First Circuit,Domestic Abuse Protective Orders (Ch. 586),4.0,2016.0,2020.0,1974.0,46.0
1998,First Circuit,Miscellaneous Proceedings,1069.0,1677.0,2746.0,2402.0,344.0
1998,First Circuit,Termination of Parental Rights,14.0,23.0,37.0,24.0,13.0
1998,First Circuit,Hospital Admission,375.0,485.0,860.0,791.0,69.0
1998,First Circuit,Habeas Corpus,476.0,487.0,963.0,825.0,138.0
1998,First Circuit,Guardianship-of-the-Person,199.0,669.0,868.0,751.0,117.0
1998,First Circuit,Other Miscellaneous Proceedings,5.0,13.0,18.0,11.0,7.0
1998,First Circuit,Criminal Actions,1774.0,2112.0,3886.0,3017.0,869.0
1998,First Circuit,Children's Referrals,3604.0,7134.0,10738.0,8196.0,2542.0
1998,First Circuit,Law Violation,2373.0,2830.0,5203.0,3563.0,1640.0
1998,First Circuit,Traffic,81.0,101.0,182.0,129.0,53.0
1998,First Circuit,Status Offense,1010.0,3008.0,4018.0,3327.0,691.0
1998,First Circuit,Abuse and Neglect,89.0,933.0,1022.0,906.0,116.0
1998,First Circuit,Other Children's Referral,51.0,262.0,313.0,271.0,42.0
1998,First Circuit,Supplemental Proceedings,6730.0,9148.0,15878.0,9561.0,6317.0
1998,First Circuit,"Order to Show Cause, Matrimonial",2004.0,11.0,2015.0,13.0,2002.0
1998,First Circuit,"Order to Show Cause, Matrimonial, Concurrent",1919.0,159.0,2078.0,444.0,1634.0
1998,First Circuit,"Order to Show Cause, URES",257.0,0.0,257.0,2.0,255.0
1998,First Circuit,"Order to Show Cause, Parental",244.0,2.0,246.0,2.0,244.0
1998,First Circuit,Motion,4.0,45.0,49.0,44.0,5.0
1998,First Circuit,Children's Supplemental Proceeding,2117.0,8931.0,11048.0,9056.0,1992.0
1998,First Circuit,Other Supplemental Proceeding,185.0,0.0,185.0,0.0,185.0
1998,First Circuit,Children on Status,3138.0,2358.0,5496.0,2323.0,3173.0
1998,First Circuit,Probation,775.0,411.0,1186.0,373.0,813.0
1998,First Circuit,Protective Supervision,453.0,162.0,615.0,266.0,349.0
1998,First Circuit,Legal Custody,0.0,0.0,0.0,0.0,0.0
1998,First Circuit,Family Supervision,411.0,573.0,984.0,519.0,465.0
